"group","code","major","minor","broad","detailed","title","essential","notes"
"Broad","43-2090","43-0000","43-3000","43-2090",NA,"Financial Clerks",0,NA
"Broad","43-3010","43-0000","43-3000","43-3010",NA,"Bill and Account Collectors",1,NA
"Detailed","43-3011","43-0000","43-3000","43-3010","43-3011","Bill and Account Collectors",1,NA
"Broad","43-3020","43-0000","43-3000","43-3020",NA,"Billing and Posting Clerks",1,NA
"Detailed","43-3021","43-0000","43-3000","43-3020","43-3021","Billing and Posting Clerks",1,NA
"Broad","43-3030","43-0000","43-3000","43-3030",NA,"Bookkeeping, Accounting, and Auditing Clerks",1,NA
"Detailed","43-3031","43-0000","43-3000","43-3030","43-3031","Bookkeeping, Accounting, and Auditing Clerks",1,NA
"Broad","43-3040","43-0000","43-3000","43-3040",NA,"Gambling Cage Workers",0,NA
"Detailed","43-3041","43-0000","43-3000","43-3040","43-3041","Gambling Cage Workers",0,NA
"Broad","43-3050","43-0000","43-3000","43-3050",NA,"Payroll and Timekeeping Clerks",0,NA
"Detailed","43-3051","43-0000","43-3000","43-3050","43-3051","Payroll and Timekeeping Clerks",0,NA
"Broad","43-3060","43-0000","43-3000","43-3060",NA,"Procurement Clerks",1,NA
"Detailed","43-3061","43-0000","43-3000","43-3060","43-3061","Procurement Clerks",1,NA
"Broad","43-3070","43-0000","43-3000","43-3070",NA,"Tellers",1,NA
"Detailed","43-3071","43-0000","43-3000","43-3070","43-3071","Tellers",1,NA
"Broad","43-3090","43-0000","43-3000","43-3090",NA,"Miscellaneous Financial Clerks",1,NA
"Detailed","43-3099","43-0000","43-3000","43-3090","43-3099","Financial Clerks, All Other",1,NA
"Broad","43-3090","43-0000","43-4000","43-3090",NA,"Information and Record Clerks",1,NA
"Broad","43-4010","43-0000","43-4000","43-4010",NA,"Brokerage Clerks",1,NA
"Detailed","43-4011","43-0000","43-4000","43-4010","43-4011","Brokerage Clerks",1,NA
"Broad","43-4020","43-0000","43-4000","43-4020",NA,"Correspondence Clerks",0,NA
"Detailed","43-4021","43-0000","43-4000","43-4020","43-4021","Correspondence Clerks",0,NA
"Broad","43-4030","43-0000","43-4000","43-4030",NA,"Court, Municipal, and License Clerks",0,NA
"Detailed","43-4031","43-0000","43-4000","43-4030","43-4031","Court, Municipal, and License Clerks",0,NA
"Broad","43-4040","43-0000","43-4000","43-4040",NA,"Credit Authorizers, Checkers, and Clerks",1,NA
"Detailed","43-4041","43-0000","43-4000","43-4040","43-4041","Credit Authorizers, Checkers, and Clerks",1,NA
"Broad","43-4050","43-0000","43-4000","43-4050",NA,"Customer Service Representatives",1,NA
"Detailed","43-4051","43-0000","43-4000","43-4050","43-4051","Customer Service Representatives",1,NA
"Broad","43-4060","43-0000","43-4000","43-4060",NA,"Eligibility Interviewers, Government Programs",1,NA
"Detailed","43-4061","43-0000","43-4000","43-4060","43-4061","Eligibility Interviewers, Government Programs",1,NA
"Broad","43-4070","43-0000","43-4000","43-4070",NA,"File Clerks",0,NA
"Detailed","43-4071","43-0000","43-4000","43-4070","43-4071","File Clerks",0,NA
"Broad","43-4080","43-0000","43-4000","43-4080",NA,"Hotel, Motel, and Resort Desk Clerks",0,NA
"Detailed","43-4081","43-0000","43-4000","43-4080","43-4081","Hotel, Motel, and Resort Desk Clerks",0,NA
"Broad","43-4110","43-0000","43-4000","43-4110",NA,"Interviewers, Except Eligibility and Loan",0,NA
"Detailed","43-4111","43-0000","43-4000","43-4110","43-4111","Interviewers, Except Eligibility and Loan",0,NA
"Broad","43-4120","43-0000","43-4000","43-4120",NA,"Library Assistants, Clerical",0,NA
"Detailed","43-4121","43-0000","43-4000","43-4120","43-4121","Library Assistants, Clerical",0,NA
"Broad","43-4130","43-0000","43-4000","43-4130",NA,"Loan Interviewers and Clerks",1,NA
"Detailed","43-4131","43-0000","43-4000","43-4130","43-4131","Loan Interviewers and Clerks",1,NA
"Broad","43-4140","43-0000","43-4000","43-4140",NA,"New Accounts Clerks",1,NA
"Detailed","43-4141","43-0000","43-4000","43-4140","43-4141","New Accounts Clerks",1,NA
"Broad","43-4150","43-0000","43-4000","43-4150",NA,"Order Clerks",1,NA
"Detailed","43-4151","43-0000","43-4000","43-4150","43-4151","Order Clerks",1,NA
"Broad","43-4160","43-0000","43-4000","43-4160",NA,"Human Resources Assistants, Except Payroll and Timekeeping",1,NA
"Detailed","43-4161","43-0000","43-4000","43-4160","43-4161","Human Resources Assistants, Except Payroll and Timekeeping",1,NA
"Broad","43-4170","43-0000","43-4000","43-4170",NA,"Receptionists and Information Clerks",0,NA
"Detailed","43-4171","43-0000","43-4000","43-4170","43-4171","Receptionists and Information Clerks",0,NA
"Broad","43-4180","43-0000","43-4000","43-4180",NA,"Reservation and Transportation Ticket Agents and Travel Clerks",0,NA
"Detailed","43-4181","43-0000","43-4000","43-4180","43-4181","Reservation and Transportation Ticket Agents and Travel Clerks",0,NA
"Broad","43-4190","43-0000","43-4000","43-4190",NA,"Miscellaneous Information and Record Clerks",1,NA
"Detailed","43-4199","43-0000","43-4000","43-4190","43-4199","Information and Record Clerks, All Other",1,NA
"Broad","43-4190","43-0000","43-5000","43-4190",NA,"Material Recording, Scheduling, Dispatching, and Distributing Workers",1,NA
"Broad","43-5010","43-0000","43-5000","43-5010",NA,"Cargo and Freight Agents",1,NA
"Detailed","43-5011","43-0000","43-5000","43-5010","43-5011","Cargo and Freight Agents",1,NA
"Broad","43-5020","43-0000","43-5000","43-5020",NA,"Couriers and Messengers",1,NA
"Detailed","43-5021","43-0000","43-5000","43-5020","43-5021","Couriers and Messengers",1,NA
"Broad","43-5030","43-0000","43-5000","43-5030",NA,"Dispatchers",1,NA
"Detailed","43-5031","43-0000","43-5000","43-5030","43-5031","Public Safety Telecommunicators",1,NA
"Detailed","43-5032","43-0000","43-5000","43-5030","43-5032","Dispatchers, Except Police, Fire, and Ambulance",1,NA
"Broad","43-5040","43-0000","43-5000","43-5040",NA,"Meter Readers, Utilities",1,NA
"Detailed","43-5041","43-0000","43-5000","43-5040","43-5041","Meter Readers, Utilities",1,NA
"Broad","43-5050","43-0000","43-5000","43-5050",NA,"Postal Service Workers",1,NA
"Detailed","43-5051","43-0000","43-5000","43-5050","43-5051","Postal Service Clerks",1,NA
"Detailed","43-5052","43-0000","43-5000","43-5050","43-5052","Postal Service Mail Carriers",1,NA
"Detailed","43-5053","43-0000","43-5000","43-5050","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",1,NA
"Broad","43-5060","43-0000","43-5000","43-5060",NA,"Production, Planning, and Expediting Clerks",1,NA
"Detailed","43-5061","43-0000","43-5000","43-5060","43-5061","Production, Planning, and Expediting Clerks",1,NA
"Broad","43-5070","43-0000","43-5000","43-5070",NA,"Shipping, Receiving, and Inventory Clerks",1,NA
"Detailed","43-5071","43-0000","43-5000","43-5070","43-5071","Shipping, Receiving, and Inventory Clerks",1,NA
"Broad","43-5110","43-0000","43-5000","43-5110",NA,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1,NA
"Detailed","43-5111","43-0000","43-5000","43-5110","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1,NA
"Broad","43-5110","43-0000","43-6000","43-5110",NA,"Secretaries and Administrative Assistants",1,NA
"Broad","43-6010","43-0000","43-6000","43-6010",NA,"Secretaries and Administrative Assistants",1,NA
"Detailed","43-6011","43-0000","43-6000","43-6010","43-6011","Executive Secretaries and Executive Administrative Assistants",1,NA
"Detailed","43-6012","43-0000","43-6000","43-6010","43-6012","Legal Secretaries and Administrative Assistants",1,NA
"Detailed","43-6013","43-0000","43-6000","43-6010","43-6013","Medical Secretaries and Administrative Assistants",1,NA
"Detailed","43-6014","43-0000","43-6000","43-6010","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1,NA
"Broad","43-6010","43-0000","43-9000","43-6010",NA,"Other Office and Administrative Support Workers",1,NA
"Broad","43-9020","43-0000","43-9000","43-9020",NA,"Data Entry and Information Processing Workers",1,NA
"Detailed","43-9021","43-0000","43-9000","43-9020","43-9021","Data Entry Keyers",1,NA
"Detailed","43-9022","43-0000","43-9000","43-9020","43-9022","Word Processors and Typists",1,NA
"Broad","43-9030","43-0000","43-9000","43-9030",NA,"Desktop Publishers",1,NA
"Detailed","43-9031","43-0000","43-9000","43-9030","43-9031","Desktop Publishers",1,NA
"Broad","43-9040","43-0000","43-9000","43-9040",NA,"Insurance Claims and Policy Processing Clerks",1,NA
"Detailed","43-9041","43-0000","43-9000","43-9040","43-9041","Insurance Claims and Policy Processing Clerks",1,NA
"Broad","43-9050","43-0000","43-9000","43-9050",NA,"Mail Clerks and Mail Machine Operators, Except Postal Service",0,NA
"Detailed","43-9051","43-0000","43-9000","43-9050","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service",0,NA
"Broad","43-9060","43-0000","43-9000","43-9060",NA,"Office Clerks, General",1,NA
"Detailed","43-9061","43-0000","43-9000","43-9060","43-9061","Office Clerks, General",1,NA
"Broad","43-9070","43-0000","43-9000","43-9070",NA,"Office Machine Operators, Except Computer",0,NA
"Detailed","43-9071","43-0000","43-9000","43-9070","43-9071","Office Machine Operators, Except Computer",0,NA
"Broad","43-9080","43-0000","43-9000","43-9080",NA,"Proofreaders and Copy Markers",0,NA
"Detailed","43-9081","43-0000","43-9000","43-9080","43-9081","Proofreaders and Copy Markers",0,NA
"Broad","43-9110","43-0000","43-9000","43-9110",NA,"Statistical Assistants",0,NA
"Detailed","43-9111","43-0000","43-9000","43-9110","43-9111","Statistical Assistants",0,NA
"Broad","43-9190","43-0000","43-9000","43-9190",NA,"Miscellaneous Office and Administrative Support Workers",1,NA
"Detailed","43-9199","43-0000","43-9000","43-9190","43-9199","Office and Administrative Support Workers, All Other",1,NA
"Broad","43-9190","45-0000","43-9000","43-9190",NA,"Farming, Fishing, and Forestry Occupations",1,NA
"Broad","43-9190","45-0000","45-1000","43-9190",NA,"Supervisors of Farming, Fishing, and Forestry Workers",1,NA
"Broad","45-1010","45-0000","45-1000","45-1010",NA,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1,NA
"Detailed","45-1011","45-0000","45-1000","45-1010","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers",1,NA
"Broad","45-1010","45-0000","45-2000","45-1010",NA,"Agricultural Workers",1,NA
"Broad","45-2010","45-0000","45-2000","45-2010",NA,"Agricultural Inspectors",0,NA
"Detailed","45-2011","45-0000","45-2000","45-2010","45-2011","Agricultural Inspectors",0,NA
"Broad","45-2020","45-0000","45-2000","45-2020",NA,"Animal Breeders",0,NA
"Detailed","45-2021","45-0000","45-2000","45-2020","45-2021","Animal Breeders",0,NA
"Broad","45-2040","45-0000","45-2000","45-2040",NA,"Graders and Sorters, Agricultural Products",1,NA
"Detailed","45-2041","45-0000","45-2000","45-2040","45-2041","Graders and Sorters, Agricultural Products",1,NA
"Broad","45-2090","45-0000","45-2000","45-2090",NA,"Miscellaneous Agricultural Workers",1,NA
"Detailed","45-2091","45-0000","45-2000","45-2090","45-2091","Agricultural Equipment Operators",1,NA
"Detailed","45-2092","45-0000","45-2000","45-2090","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1,NA
"Detailed","45-2093","45-0000","45-2000","45-2090","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals",1,NA
"Detailed","45-2099","45-0000","45-2000","45-2090","45-2099","Agricultural Workers, All Other",1,NA
"Broad","45-2090","45-0000","45-3000","45-2090",NA,"Fishing and Hunting Workers",1,NA
"Broad","45-3030","45-0000","45-3000","45-3030",NA,"Fishing and Hunting Workers",0,NA
"Detailed","45-3031","45-0000","45-3000","45-3030","45-3031","Fishing and Hunting Workers",0,NA
"Broad","45-3030","45-0000","45-4000","45-3030",NA,"Forest, Conservation, and Logging Workers",0,NA
"Broad","45-4010","45-0000","45-4000","45-4010",NA,"Forest and Conservation Workers",0,NA
"Detailed","45-4011","45-0000","45-4000","45-4010","45-4011","Forest and Conservation Workers",0,NA
"Broad","45-4020","45-0000","45-4000","45-4020",NA,"Logging Workers",1,NA
"Detailed","45-4021","45-0000","45-4000","45-4020","45-4021","Fallers",1,NA
"Detailed","45-4022","45-0000","45-4000","45-4020","45-4022","Logging Equipment Operators",1,NA
"Detailed","45-4023","45-0000","45-4000","45-4020","45-4023","Log Graders and Scalers",1,NA
"Detailed","45-4029","45-0000","45-4000","45-4020","45-4029","Logging Workers, All Other",1,NA
"Broad","45-4020","47-0000","45-4000","45-4020",NA,"Construction and Extraction Occupations",1,NA
"Broad","45-4020","47-0000","47-1000","45-4020",NA,"Supervisors of Construction and Extraction Workers",1,NA
"Broad","47-1010","47-0000","47-1000","47-1010",NA,"First-Line Supervisors of Construction Trades and Extraction Workers",1,NA
"Detailed","47-1011","47-0000","47-1000","47-1010","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers",1,NA
"Broad","47-1010","47-0000","47-2000","47-1010",NA,"Construction Trades Workers",1,NA
"Broad","47-2010","47-0000","47-2000","47-2010",NA,"Boilermakers",0,NA
"Detailed","47-2011","47-0000","47-2000","47-2010","47-2011","Boilermakers",0,NA
"Broad","47-2020","47-0000","47-2000","47-2020",NA,"Brickmasons, Blockmasons, and Stonemasons",0,NA
"Detailed","47-2021","47-0000","47-2000","47-2020","47-2021","Brickmasons and Blockmasons",0,NA
"Detailed","47-2022","47-0000","47-2000","47-2020","47-2022","Stonemasons",0,NA
"Broad","47-2030","47-0000","47-2000","47-2030",NA,"Carpenters",1,NA
"Detailed","47-2031","47-0000","47-2000","47-2030","47-2031","Carpenters",1,NA
"Broad","47-2040","47-0000","47-2000","47-2040",NA,"Carpet, Floor, and Tile Installers and Finishers",0,NA
"Detailed","47-2041","47-0000","47-2000","47-2040","47-2041","Carpet Installers",0,NA
"Detailed","47-2042","47-0000","47-2000","47-2040","47-2042","Floor Layers, Except Carpet, Wood, and Hard Tiles",0,NA
"Detailed","47-2043","47-0000","47-2000","47-2040","47-2043","Floor Sanders and Finishers",0,NA
"Detailed","47-2044","47-0000","47-2000","47-2040","47-2044","Tile and Stone Setters",0,NA
"Broad","47-2050","47-0000","47-2000","47-2050",NA,"Cement Masons, Concrete Finishers, and Terrazzo Workers",0,NA
"Detailed","47-2051","47-0000","47-2000","47-2050","47-2051","Cement Masons and Concrete Finishers",0,NA
"Detailed","47-2053","47-0000","47-2000","47-2050","47-2053","Terrazzo Workers and Finishers",0,NA
"Broad","47-2060","47-0000","47-2000","47-2060",NA,"Construction Laborers",1,NA
"Detailed","47-2061","47-0000","47-2000","47-2060","47-2061","Construction Laborers",1,NA
"Broad","47-2070","47-0000","47-2000","47-2070",NA,"Construction Equipment Operators",1,NA
"Detailed","47-2071","47-0000","47-2000","47-2070","47-2071","Paving, Surfacing, and Tamping Equipment Operators",1,NA
"Detailed","47-2072","47-0000","47-2000","47-2070","47-2072","Pile Driver Operators",1,NA
"Detailed","47-2073","47-0000","47-2000","47-2070","47-2073","Operating Engineers and Other Construction Equipment Operators",1,NA
"Broad","47-2080","47-0000","47-2000","47-2080",NA,"Drywall Installers, Ceiling Tile Installers, and Tapers",0,NA
"Detailed","47-2081","47-0000","47-2000","47-2080","47-2081","Drywall and Ceiling Tile Installers",0,NA
"Detailed","47-2082","47-0000","47-2000","47-2080","47-2082","Tapers",0,NA
"Broad","47-2110","47-0000","47-2000","47-2110",NA,"Electricians",1,NA
"Detailed","47-2111","47-0000","47-2000","47-2110","47-2111","Electricians",1,NA
"Broad","47-2120","47-0000","47-2000","47-2120",NA,"Glaziers",0,NA
"Detailed","47-2121","47-0000","47-2000","47-2120","47-2121","Glaziers",0,NA
"Broad","47-2130","47-0000","47-2000","47-2130",NA,"Insulation Workers",0,NA
"Detailed","47-2131","47-0000","47-2000","47-2130","47-2131","Insulation Workers, Floor, Ceiling, and Wall",0,NA
"Detailed","47-2132","47-0000","47-2000","47-2130","47-2132","Insulation Workers, Mechanical",0,NA
"Broad","47-2140","47-0000","47-2000","47-2140",NA,"Painters and Paperhangers",0,NA
"Detailed","47-2141","47-0000","47-2000","47-2140","47-2141","Painters, Construction and Maintenance",0,NA
"Detailed","47-2142","47-0000","47-2000","47-2140","47-2142","Paperhangers",0,NA
"Broad","47-2150","47-0000","47-2000","47-2150",NA,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1,NA
"Detailed","47-2151","47-0000","47-2000","47-2150","47-2151","Pipelayers",1,NA
"Detailed","47-2152","47-0000","47-2000","47-2150","47-2152","Plumbers, Pipefitters, and Steamfitters",1,NA
"Broad","47-2160","47-0000","47-2000","47-2160",NA,"Plasterers and Stucco Masons",0,NA
"Detailed","47-2161","47-0000","47-2000","47-2160","47-2161","Plasterers and Stucco Masons",0,NA
"Broad","47-2170","47-0000","47-2000","47-2170",NA,"Reinforcing Iron and Rebar Workers",0,NA
"Detailed","47-2171","47-0000","47-2000","47-2170","47-2171","Reinforcing Iron and Rebar Workers",0,NA
"Broad","47-2180","47-0000","47-2000","47-2180",NA,"Roofers",0,NA
"Detailed","47-2181","47-0000","47-2000","47-2180","47-2181","Roofers",0,NA
"Broad","47-2210","47-0000","47-2000","47-2210",NA,"Sheet Metal Workers",0,NA
"Detailed","47-2211","47-0000","47-2000","47-2210","47-2211","Sheet Metal Workers",0,NA
"Broad","47-2220","47-0000","47-2000","47-2220",NA,"Structural Iron and Steel Workers",0,NA
"Detailed","47-2221","47-0000","47-2000","47-2220","47-2221","Structural Iron and Steel Workers",0,NA
"Broad","47-2230","47-0000","47-2000","47-2230",NA,"Solar Photovoltaic Installers",0,NA
"Detailed","47-2231","47-0000","47-2000","47-2230","47-2231","Solar Photovoltaic Installers",0,NA
"Broad","47-2230","47-0000","47-3000","47-2230",NA,"Helpers, Construction Trades",0,NA
"Broad","47-3010","47-0000","47-3000","47-3010",NA,"Helpers, Construction Trades",1,NA
"Detailed","47-3011","47-0000","47-3000","47-3010","47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",1,NA
"Detailed","47-3012","47-0000","47-3000","47-3010","47-3012","Helpers--Carpenters",1,NA
"Detailed","47-3013","47-0000","47-3000","47-3010","47-3013","Helpers--Electricians",1,NA
"Detailed","47-3014","47-0000","47-3000","47-3010","47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,NA
"Detailed","47-3015","47-0000","47-3000","47-3010","47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",1,NA
"Detailed","47-3016","47-0000","47-3000","47-3010","47-3016","Helpers--Roofers",1,NA
"Detailed","47-3019","47-0000","47-3000","47-3010","47-3019","Helpers, Construction Trades, All Other",1,NA
"Broad","47-3010","47-0000","47-4000","47-3010",NA,"Other Construction and Related Workers",1,NA
"Broad","47-4010","47-0000","47-4000","47-4010",NA,"Construction and Building Inspectors",1,NA
"Detailed","47-4011","47-0000","47-4000","47-4010","47-4011","Construction and Building Inspectors",1,NA
"Broad","47-4020","47-0000","47-4000","47-4020",NA,"Elevator and Escalator Installers and Repairers",0,NA
"Detailed","47-4021","47-0000","47-4000","47-4020","47-4021","Elevator and Escalator Installers and Repairers",0,NA
"Broad","47-4030","47-0000","47-4000","47-4030",NA,"Fence Erectors",0,NA
"Detailed","47-4031","47-0000","47-4000","47-4030","47-4031","Fence Erectors",0,NA
"Broad","47-4040","47-0000","47-4000","47-4040",NA,"Hazardous Materials Removal Workers",1,NA
"Detailed","47-4041","47-0000","47-4000","47-4040","47-4041","Hazardous Materials Removal Workers",1,NA
"Broad","47-4050","47-0000","47-4000","47-4050",NA,"Highway Maintenance Workers",1,NA
"Detailed","47-4051","47-0000","47-4000","47-4050","47-4051","Highway Maintenance Workers",1,NA
"Broad","47-4060","47-0000","47-4000","47-4060",NA,"Rail-Track Laying and Maintenance Equipment Operators",1,NA
"Detailed","47-4061","47-0000","47-4000","47-4060","47-4061","Rail-Track Laying and Maintenance Equipment Operators",1,NA
"Broad","47-4070","47-0000","47-4000","47-4070",NA,"Septic Tank Servicers and Sewer Pipe Cleaners",1,NA
"Detailed","47-4071","47-0000","47-4000","47-4070","47-4071","Septic Tank Servicers and Sewer Pipe Cleaners",1,NA
"Broad","47-4090","47-0000","47-4000","47-4090",NA,"Miscellaneous Construction and Related Workers",1,NA
"Detailed","47-4091","47-0000","47-4000","47-4090","47-4091","Segmental Pavers",1,NA
"Detailed","47-4099","47-0000","47-4000","47-4090","47-4099","Construction and Related Workers, All Other",1,NA
"Broad","47-4090","47-0000","47-5000","47-4090",NA,"Extraction Workers",1,NA
"Broad","47-5010","47-0000","47-5000","47-5010",NA,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",0,NA
"Detailed","47-5011","47-0000","47-5000","47-5010","47-5011","Derrick Operators, Oil and Gas",0,NA
"Detailed","47-5012","47-0000","47-5000","47-5010","47-5012","Rotary Drill Operators, Oil and Gas",0,NA
"Detailed","47-5013","47-0000","47-5000","47-5010","47-5013","Service Unit Operators, Oil and Gas",0,NA
"Broad","47-5020","47-0000","47-5000","47-5020",NA,"Surface Mining Machine Operators and Earth Drillers",0,NA
"Detailed","47-5022","47-0000","47-5000","47-5020","47-5022","Excavating and Loading Machine and Dragline Operators, Surface Mining",0,NA
"Detailed","47-5023","47-0000","47-5000","47-5020","47-5023","Earth Drillers, Except Oil and Gas",0,NA
"Broad","47-5030","47-0000","47-5000","47-5030",NA,"Explosives Workers, Ordnance Handling Experts, and Blasters",0,NA
"Detailed","47-5032","47-0000","47-5000","47-5030","47-5032","Explosives Workers, Ordnance Handling Experts, and Blasters",0,NA
"Broad","47-5040","47-0000","47-5000","47-5040",NA,"Underground Mining Machine Operators",0,NA
"Detailed","47-5041","47-0000","47-5000","47-5040","47-5041","Continuous Mining Machine Operators",0,NA
"Detailed","47-5043","47-0000","47-5000","47-5040","47-5043","Roof Bolters, Mining",0,NA
"Detailed","47-5044","47-0000","47-5000","47-5040","47-5044","Loading and Moving Machine Operators, Underground Mining",0,NA
"Detailed","47-5049","47-0000","47-5000","47-5040","47-5049","Underground Mining Machine Operators, All Other",0,NA
"Broad","47-5050","47-0000","47-5000","47-5050",NA,"Rock Splitters, Quarry",0,NA
"Detailed","47-5051","47-0000","47-5000","47-5050","47-5051","Rock Splitters, Quarry",0,NA
"Broad","47-5070","47-0000","47-5000","47-5070",NA,"Roustabouts, Oil and Gas",0,NA
"Detailed","47-5071","47-0000","47-5000","47-5070","47-5071","Roustabouts, Oil and Gas",0,NA
"Broad","47-5080","47-0000","47-5000","47-5080",NA,"Helpers--Extraction Workers",0,NA
"Detailed","47-5081","47-0000","47-5000","47-5080","47-5081","Helpers--Extraction Workers",0,NA
"Broad","47-5090","47-0000","47-5000","47-5090",NA,"Miscellaneous Extraction Workers",1,NA
"Detailed","47-5099","47-0000","47-5000","47-5090","47-5099","Extraction Workers, All Other",1,NA
"Broad","47-5090","49-0000","47-5000","47-5090",NA,"Installation, Maintenance, and Repair Occupations",1,NA
"Broad","47-5090","49-0000","49-1000","47-5090",NA,"Supervisors of Installation, Maintenance, and Repair Workers",1,NA
"Broad","49-1010","49-0000","49-1000","49-1010",NA,"First-Line Supervisors of Mechanics, Installers, and Repairers",1,NA
"Detailed","49-1011","49-0000","49-1000","49-1010","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers",1,NA
"Broad","49-1010","49-0000","49-2000","49-1010",NA,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1,NA
"Broad","49-2010","49-0000","49-2000","49-2010",NA,"Computer, Automated Teller, and Office Machine Repairers",1,NA
"Detailed","49-2011","49-0000","49-2000","49-2010","49-2011","Computer, Automated Teller, and Office Machine Repairers",1,NA
"Broad","49-2020","49-0000","49-2000","49-2020",NA,"Radio and Telecommunications Equipment Installers and Repairers",1,NA
"Detailed","49-2021","49-0000","49-2000","49-2020","49-2021","Radio, Cellular, and Tower Equipment Installers and Repairers",1,NA
"Detailed","49-2022","49-0000","49-2000","49-2020","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers",1,NA
"Broad","49-2090","49-0000","49-2000","49-2090",NA,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1,NA
"Detailed","49-2091","49-0000","49-2000","49-2090","49-2091","Avionics Technicians",1,NA
"Detailed","49-2092","49-0000","49-2000","49-2090","49-2092","Electric Motor, Power Tool, and Related Repairers",1,NA
"Detailed","49-2093","49-0000","49-2000","49-2090","49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment",1,NA
"Detailed","49-2094","49-0000","49-2000","49-2090","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment",1,NA
"Detailed","49-2095","49-0000","49-2000","49-2090","49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1,NA
"Detailed","49-2096","49-0000","49-2000","49-2090","49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles",1,NA
"Detailed","49-2097","49-0000","49-2000","49-2090","49-2097","Audiovisual Equipment Installers and Repairers",1,NA
"Detailed","49-2098","49-0000","49-2000","49-2090","49-2098","Security and Fire Alarm Systems Installers",1,NA
"Broad","49-2090","49-0000","49-3000","49-2090",NA,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",1,NA
"Broad","49-3010","49-0000","49-3000","49-3010",NA,"Aircraft Mechanics and Service Technicians",1,NA
"Detailed","49-3011","49-0000","49-3000","49-3010","49-3011","Aircraft Mechanics and Service Technicians",1,NA
"Broad","49-3020","49-0000","49-3000","49-3020",NA,"Automotive Technicians and Repairers",1,NA
"Detailed","49-3021","49-0000","49-3000","49-3020","49-3021","Automotive Body and Related Repairers",1,NA
"Detailed","49-3022","49-0000","49-3000","49-3020","49-3022","Automotive Glass Installers and Repairers",1,NA
"Detailed","49-3023","49-0000","49-3000","49-3020","49-3023","Automotive Service Technicians and Mechanics",1,NA
"Broad","49-3030","49-0000","49-3000","49-3030",NA,"Bus and Truck Mechanics and Diesel Engine Specialists",1,NA
"Detailed","49-3031","49-0000","49-3000","49-3030","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists",1,NA
"Broad","49-3040","49-0000","49-3000","49-3040",NA,"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics",1,NA
"Detailed","49-3041","49-0000","49-3000","49-3040","49-3041","Farm Equipment Mechanics and Service Technicians",1,NA
"Detailed","49-3042","49-0000","49-3000","49-3040","49-3042","Mobile Heavy Equipment Mechanics, Except Engines",1,NA
"Detailed","49-3043","49-0000","49-3000","49-3040","49-3043","Rail Car Repairers",1,NA
"Broad","49-3050","49-0000","49-3000","49-3050",NA,"Small Engine Mechanics",1,NA
"Detailed","49-3051","49-0000","49-3000","49-3050","49-3051","Motorboat Mechanics and Service Technicians",1,NA
"Detailed","49-3052","49-0000","49-3000","49-3050","49-3052","Motorcycle Mechanics",1,NA
"Detailed","49-3053","49-0000","49-3000","49-3050","49-3053","Outdoor Power Equipment and Other Small Engine Mechanics",1,NA
"Broad","49-3090","49-0000","49-3000","49-3090",NA,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",1,NA
"Detailed","49-3091","49-0000","49-3000","49-3090","49-3091","Bicycle Repairers",1,NA
"Detailed","49-3092","49-0000","49-3000","49-3090","49-3092","Recreational Vehicle Service Technicians",1,NA
"Detailed","49-3093","49-0000","49-3000","49-3090","49-3093","Tire Repairers and Changers",1,NA
"Broad","49-3090","49-0000","49-9000","49-3090",NA,"Other Installation, Maintenance, and Repair Occupations",1,NA
"Broad","49-9010","49-0000","49-9000","49-9010",NA,"Control and Valve Installers and Repairers",1,NA
"Detailed","49-9011","49-0000","49-9000","49-9010","49-9011","Mechanical Door Repairers",1,NA
"Detailed","49-9012","49-0000","49-9000","49-9010","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door",1,NA
