"major","minor","broad","detailed","title","notes"
"49-0000","49-3000","49-3030","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists",NA
"49-0000","49-3000","49-3040",NA,"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics",NA
"49-0000","49-3000","49-3040","49-3041","Farm Equipment Mechanics and Service Technicians",NA
"49-0000","49-3000","49-3040","49-3042","Mobile Heavy Equipment Mechanics, Except Engines",NA
"49-0000","49-3000","49-3040","49-3043","Rail Car Repairers",NA
"49-0000","49-3000","49-3050",NA,"Small Engine Mechanics",NA
"49-0000","49-3000","49-3050","49-3051","Motorboat Mechanics and Service Technicians",NA
"49-0000","49-3000","49-3050","49-3052","Motorcycle Mechanics",NA
"49-0000","49-3000","49-3050","49-3053","Outdoor Power Equipment and Other Small Engine Mechanics",NA
"49-0000","49-3000","49-3090",NA,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",NA
"49-0000","49-3000","49-3090","49-3091","Bicycle Repairers",NA
"49-0000","49-3000","49-3090","49-3092","Recreational Vehicle Service Technicians",NA
"49-0000","49-3000","49-3090","49-3093","Tire Repairers and Changers",NA
"49-0000","49-9000","49-3090",NA,"Other Installation, Maintenance, and Repair Occupations",NA
"49-0000","49-9000","49-9010",NA,"Control and Valve Installers and Repairers",NA
"49-0000","49-9000","49-9010","49-9011","Mechanical Door Repairers",NA
"49-0000","49-9000","49-9010","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door",NA
"49-0000","49-9000","49-9020",NA,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",NA
"49-0000","49-9000","49-9020","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",NA
"49-0000","49-9000","49-9030",NA,"Home Appliance Repairers",NA
"49-0000","49-9000","49-9030","49-9031","Home Appliance Repairers",NA
"49-0000","49-9000","49-9040",NA,"Industrial Machinery Installation, Repair, and Maintenance Workers",NA
"49-0000","49-9000","49-9040","49-9041","Industrial Machinery Mechanics",NA
"49-0000","49-9000","49-9040","49-9043","Maintenance Workers, Machinery",NA
"49-0000","49-9000","49-9040","49-9044","Millwrights",NA
"49-0000","49-9000","49-9040","49-9045","Refractory Materials Repairers, Except Brickmasons",NA
"49-0000","49-9000","49-9050",NA,"Line Installers and Repairers",NA
"49-0000","49-9000","49-9050","49-9051","Electrical Power-Line Installers and Repairers",NA
"49-0000","49-9000","49-9050","49-9052","Telecommunications Line Installers and Repairers",NA
"49-0000","49-9000","49-9060",NA,"Precision Instrument and Equipment Repairers",NA
"49-0000","49-9000","49-9060","49-9061","Camera and Photographic Equipment Repairers",NA
"49-0000","49-9000","49-9060","49-9062","Medical Equipment Repairers",NA
"49-0000","49-9000","49-9060","49-9063","Musical Instrument Repairers and Tuners",NA
"49-0000","49-9000","49-9060","49-9064","Watch and Clock Repairers",NA
"49-0000","49-9000","49-9060","49-9069","Precision Instrument and Equipment Repairers, All Other",NA
"49-0000","49-9000","49-9070",NA,"Maintenance and Repair Workers, General",NA
"49-0000","49-9000","49-9070","49-9071","Maintenance and Repair Workers, General",NA
"49-0000","49-9000","49-9080",NA,"Wind Turbine Service Technicians",NA
"49-0000","49-9000","49-9080","49-9081","Wind Turbine Service Technicians",NA
"49-0000","49-9000","49-9090",NA,"Miscellaneous Installation, Maintenance, and Repair Workers",NA
"49-0000","49-9000","49-9090","49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers",NA
"49-0000","49-9000","49-9090","49-9092","Commercial Divers",NA
"49-0000","49-9000","49-9090","49-9094","Locksmiths and Safe Repairers",NA
"49-0000","49-9000","49-9090","49-9095","Manufactured Building and Mobile Home Installers",NA
"49-0000","49-9000","49-9090","49-9096","Riggers",NA
"49-0000","49-9000","49-9090","49-9097","Signal and Track Switch Repairers",NA
"49-0000","49-9000","49-9090","49-9098","Helpers--Installation, Maintenance, and Repair Workers",NA
"49-0000","49-9000","49-9090","49-9099","Installation, Maintenance, and Repair Workers, All Other",NA
"51-0000","49-9000","49-9090",NA,"Production Occupations",NA
"51-0000","51-1000","49-9090",NA,"Supervisors of Production Workers",NA
"51-0000","51-1000","51-1010",NA,"First-Line Supervisors of Production and Operating Workers",NA
"51-0000","51-1000","51-1010","51-1011","First-Line Supervisors of Production and Operating Workers",NA
"51-0000","51-2000","51-1010",NA,"Assemblers and Fabricators",NA
"51-0000","51-2000","51-2010",NA,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",NA
"51-0000","51-2000","51-2010","51-2011","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",NA
"51-0000","51-2000","51-2020",NA,"Electrical, Electronics, and Electromechanical Assemblers",NA
"51-0000","51-2000","51-2020","51-2021","Coil Winders, Tapers, and Finishers",NA
"51-0000","51-2000","51-2020","51-2022","Electrical and Electronic Equipment Assemblers",NA
"51-0000","51-2000","51-2020","51-2023","Electromechanical Equipment Assemblers",NA
"51-0000","51-2000","51-2030",NA,"Engine and Other Machine Assemblers",NA
"51-0000","51-2000","51-2030","51-2031","Engine and Other Machine Assemblers",NA
"51-0000","51-2000","51-2040",NA,"Structural Metal Fabricators and Fitters",NA
"51-0000","51-2000","51-2040","51-2041","Structural Metal Fabricators and Fitters",NA
"51-0000","51-2000","51-2050",NA,"Fiberglass Laminators and Fabricators",NA
"51-0000","51-2000","51-2050","51-2051","Fiberglass Laminators and Fabricators",NA
"51-0000","51-2000","51-2060",NA,"Timing Device Assemblers and Adjusters",NA
"51-0000","51-2000","51-2060","51-2061","Timing Device Assemblers and Adjusters",NA
"51-0000","51-2000","51-2090",NA,"Miscellaneous Assemblers and Fabricators",NA
"51-0000","51-2000","51-2090","51-2092","Team Assemblers",NA
"51-0000","51-2000","51-2090","51-2099","Assemblers and Fabricators, All Other",NA
"51-0000","51-3000","51-2090",NA,"Food Processing Workers",NA
"51-0000","51-3000","51-3010",NA,"Bakers",NA
"51-0000","51-3000","51-3010","51-3011","Bakers",NA
"51-0000","51-3000","51-3020",NA,"Butchers and Other Meat, Poultry, and Fish Processing Workers",NA
"51-0000","51-3000","51-3020","51-3021","Butchers and Meat Cutters",NA
"51-0000","51-3000","51-3020","51-3022","Meat, Poultry, and Fish Cutters and Trimmers",NA
"51-0000","51-3000","51-3020","51-3023","Slaughterers and Meat Packers",NA
"51-0000","51-3000","51-3090",NA,"Miscellaneous Food Processing Workers",NA
"51-0000","51-3000","51-3090","51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",NA
"51-0000","51-3000","51-3090","51-3092","Food Batchmakers",NA
"51-0000","51-3000","51-3090","51-3093","Food Cooking Machine Operators and Tenders",NA
"51-0000","51-3000","51-3090","51-3099","Food Processing Workers, All Other",NA
"51-0000","51-4000","51-3090",NA,"Metal Workers and Plastic Workers",NA
"51-0000","51-4000","51-4020",NA,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4020","51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4020","51-4022","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4020","51-4023","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4030",NA,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4030","51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4030","51-4032","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4030","51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4030","51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4030","51-4035","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4040",NA,"Machinists",NA
"51-0000","51-4000","51-4040","51-4041","Machinists",NA
"51-0000","51-4000","51-4050",NA,"Metal Furnace Operators, Tenders, Pourers, and Casters",NA
"51-0000","51-4000","51-4050","51-4051","Metal-Refining Furnace Operators and Tenders",NA
"51-0000","51-4000","51-4050","51-4052","Pourers and Casters, Metal",NA
"51-0000","51-4000","51-4060",NA,"Model Makers and Patternmakers, Metal and Plastic",NA
"51-0000","51-4000","51-4060","51-4061","Model Makers, Metal and Plastic",NA
"51-0000","51-4000","51-4060","51-4062","Patternmakers, Metal and Plastic",NA
"51-0000","51-4000","51-4070",NA,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4070","51-4071","Foundry Mold and Coremakers",NA
"51-0000","51-4000","51-4070","51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4080",NA,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4080","51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4110",NA,"Tool and Die Makers",NA
"51-0000","51-4000","51-4110","51-4111","Tool and Die Makers",NA
"51-0000","51-4000","51-4120",NA,"Welding, Soldering, and Brazing Workers",NA
"51-0000","51-4000","51-4120","51-4121","Welders, Cutters, Solderers, and Brazers",NA
"51-0000","51-4000","51-4120","51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",NA
"51-0000","51-4000","51-4190",NA,"Miscellaneous Metal Workers and Plastic Workers",NA
"51-0000","51-4000","51-4190","51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4190","51-4192","Layout Workers, Metal and Plastic",NA
"51-0000","51-4000","51-4190","51-4193","Plating Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"51-0000","51-4000","51-4190","51-4194","Tool Grinders, Filers, and Sharpeners",NA
"51-0000","51-4000","51-4190","51-4199","Metal Workers and Plastic Workers, All Other",NA
"51-0000","51-5100","51-4190",NA,"Printing Workers",NA
"51-0000","51-5100","51-5110",NA,"Printing Workers",NA
"51-0000","51-5100","51-5110","51-5111","Prepress Technicians and Workers",NA
"51-0000","51-5100","51-5110","51-5112","Printing Press Operators",NA
"51-0000","51-5100","51-5110","51-5113","Print Binding and Finishing Workers",NA
"51-0000","51-6000","51-5110",NA,"Textile, Apparel, and Furnishings Workers",NA
"51-0000","51-6000","51-6010",NA,"Laundry and Dry-Cleaning Workers",NA
"51-0000","51-6000","51-6010","51-6011","Laundry and Dry-Cleaning Workers",NA
"51-0000","51-6000","51-6020",NA,"Pressers, Textile, Garment, and Related Materials",NA
"51-0000","51-6000","51-6020","51-6021","Pressers, Textile, Garment, and Related Materials",NA
"51-0000","51-6000","51-6030",NA,"Sewing Machine Operators",NA
"51-0000","51-6000","51-6030","51-6031","Sewing Machine Operators",NA
"51-0000","51-6000","51-6040",NA,"Shoe and Leather Workers",NA
"51-0000","51-6000","51-6040","51-6041","Shoe and Leather Workers and Repairers",NA
"51-0000","51-6000","51-6040","51-6042","Shoe Machine Operators and Tenders",NA
"51-0000","51-6000","51-6050",NA,"Tailors, Dressmakers, and Sewers",NA
"51-0000","51-6000","51-6050","51-6051","Sewers, Hand",NA
"51-0000","51-6000","51-6050","51-6052","Tailors, Dressmakers, and Custom Sewers",NA
"51-0000","51-6000","51-6060",NA,"Textile Machine Setters, Operators, and Tenders",NA
"51-0000","51-6000","51-6060","51-6061","Textile Bleaching and Dyeing Machine Operators and Tenders",NA
"51-0000","51-6000","51-6060","51-6062","Textile Cutting Machine Setters, Operators, and Tenders",NA
"51-0000","51-6000","51-6060","51-6063","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",NA
"51-0000","51-6000","51-6060","51-6064","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",NA
"51-0000","51-6000","51-6090",NA,"Miscellaneous Textile, Apparel, and Furnishings Workers",NA
"51-0000","51-6000","51-6090","51-6091","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",NA
"51-0000","51-6000","51-6090","51-6092","Fabric and Apparel Patternmakers",NA
"51-0000","51-6000","51-6090","51-6093","Upholsterers",NA
"51-0000","51-6000","51-6090","51-6099","Textile, Apparel, and Furnishings Workers, All Other",NA
"51-0000","51-7000","51-6090",NA,"Woodworkers",NA
"51-0000","51-7000","51-7010",NA,"Cabinetmakers and Bench Carpenters",NA
"51-0000","51-7000","51-7010","51-7011","Cabinetmakers and Bench Carpenters",NA
"51-0000","51-7000","51-7020",NA,"Furniture Finishers",NA
"51-0000","51-7000","51-7020","51-7021","Furniture Finishers",NA
"51-0000","51-7000","51-7030",NA,"Model Makers and Patternmakers, Wood",NA
"51-0000","51-7000","51-7030","51-7031","Model Makers, Wood",NA
"51-0000","51-7000","51-7030","51-7032","Patternmakers, Wood",NA
"51-0000","51-7000","51-7040",NA,"Woodworking Machine Setters, Operators, and Tenders",NA
"51-0000","51-7000","51-7040","51-7041","Sawing Machine Setters, Operators, and Tenders, Wood",NA
"51-0000","51-7000","51-7040","51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",NA
"51-0000","51-7000","51-7090",NA,"Miscellaneous Woodworkers",NA
"51-0000","51-7000","51-7090","51-7099","Woodworkers, All Other",NA
"51-0000","51-8000","51-7090",NA,"Plant and System Operators",NA
"51-0000","51-8000","51-8010",NA,"Power Plant Operators, Distributors, and Dispatchers",NA
"51-0000","51-8000","51-8010","51-8011","Nuclear Power Reactor Operators",NA
"51-0000","51-8000","51-8010","51-8012","Power Distributors and Dispatchers",NA
"51-0000","51-8000","51-8010","51-8013","Power Plant Operators",NA
"51-0000","51-8000","51-8020",NA,"Stationary Engineers and Boiler Operators",NA
"51-0000","51-8000","51-8020","51-8021","Stationary Engineers and Boiler Operators",NA
"51-0000","51-8000","51-8030",NA,"Water and Wastewater Treatment Plant and System Operators",NA
"51-0000","51-8000","51-8030","51-8031","Water and Wastewater Treatment Plant and System Operators",NA
"51-0000","51-8000","51-8090",NA,"Miscellaneous Plant and System Operators",NA
"51-0000","51-8000","51-8090","51-8091","Chemical Plant and System Operators",NA
"51-0000","51-8000","51-8090","51-8092","Gas Plant Operators",NA
"51-0000","51-8000","51-8090","51-8093","Petroleum Pump System Operators, Refinery Operators, and Gaugers",NA
"51-0000","51-8000","51-8090","51-8099","Plant and System Operators, All Other",NA
"51-0000","51-9000","51-8090",NA,"Other Production Occupations",NA
"51-0000","51-9000","51-9010",NA,"Chemical Processing Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9010","51-9011","Chemical Equipment Operators and Tenders",NA
"51-0000","51-9000","51-9010","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9020",NA,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",NA
"51-0000","51-9000","51-9020","51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9020","51-9022","Grinding and Polishing Workers, Hand",NA
"51-0000","51-9000","51-9020","51-9023","Mixing and Blending Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9030",NA,"Cutting Workers",NA
"51-0000","51-9000","51-9030","51-9031","Cutters and Trimmers, Hand",NA
"51-0000","51-9000","51-9030","51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9040",NA,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9040","51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9050",NA,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",NA
"51-0000","51-9000","51-9050","51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",NA
"51-0000","51-9000","51-9060",NA,"Inspectors, Testers, Sorters, Samplers, and Weighers",NA
"51-0000","51-9000","51-9060","51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers",NA
"51-0000","51-9000","51-9070",NA,"Jewelers and Precious Stone and Metal Workers",NA
"51-0000","51-9000","51-9070","51-9071","Jewelers and Precious Stone and Metal Workers",NA
"51-0000","51-9000","51-9080",NA,"Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians",NA
"51-0000","51-9000","51-9080","51-9081","Dental Laboratory Technicians",NA
"51-0000","51-9000","51-9080","51-9082","Medical Appliance Technicians",NA
"51-0000","51-9000","51-9080","51-9083","Ophthalmic Laboratory Technicians",NA
"51-0000","51-9000","51-9110",NA,"Packaging and Filling Machine Operators and Tenders",NA
"51-0000","51-9000","51-9110","51-9111","Packaging and Filling Machine Operators and Tenders",NA
"51-0000","51-9000","51-9120",NA,"Painting Workers",NA
"51-0000","51-9000","51-9120","51-9123","Painting, Coating, and Decorating Workers",NA
"51-0000","51-9000","51-9120","51-9124","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9140",NA,"Semiconductor Processing Technicians",NA
"51-0000","51-9000","51-9140","51-9141","Semiconductor Processing Technicians",NA
"51-0000","51-9000","51-9150",NA,"Photographic Process Workers and Processing Machine Operators",NA
"51-0000","51-9000","51-9150","51-9151","Photographic Process Workers and Processing Machine Operators",NA
"51-0000","51-9000","51-9160",NA,"Computer Numerically Controlled Tool Operators and Programmers",NA
"51-0000","51-9000","51-9160","51-9161","Computer Numerically Controlled Tool Operators",NA
"51-0000","51-9000","51-9160","51-9162","Computer Numerically Controlled Tool Programmers",NA
"51-0000","51-9000","51-9190",NA,"Miscellaneous Production Workers",NA
"51-0000","51-9000","51-9190","51-9191","Adhesive Bonding Machine Operators and Tenders",NA
"51-0000","51-9000","51-9190","51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",NA
"51-0000","51-9000","51-9190","51-9193","Cooling and Freezing Equipment Operators and Tenders",NA
"51-0000","51-9000","51-9190","51-9194","Etchers and Engravers",NA
"51-0000","51-9000","51-9190","51-9195","Molders, Shapers, and Casters, Except Metal and Plastic",NA
"51-0000","51-9000","51-9190","51-9196","Paper Goods Machine Setters, Operators, and Tenders",NA
"51-0000","51-9000","51-9190","51-9197","Tire Builders",NA
"51-0000","51-9000","51-9190","51-9198","Helpers--Production Workers",NA
"51-0000","51-9000","51-9190","51-9199","Production Workers, All Other",NA
"53-0000","51-9000","51-9190",NA,"Transportation and Material Moving Occupations",NA
"53-0000","53-1000","51-9190",NA,"Supervisors of Transportation and Material Moving Workers",NA
"53-0000","53-1000","53-1040",NA,"First-Line Supervisors of Transportation and Material Moving Workers",NA
"53-0000","53-1000","53-1040","53-1041","Aircraft Cargo Handling Supervisors",NA
"53-0000","53-1000","53-1040","53-1042","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",NA
"53-0000","53-1000","53-1040","53-1043","First-Line Supervisors of Material-Moving Machine and Vehicle Operators",NA
"53-0000","53-1000","53-1040","53-1044","First-Line Supervisors of Passenger Attendants",NA
"53-0000","53-1000","53-1040","53-1049","First-Line Supervisors of Transportation Workers, All Other",NA
"53-0000","53-2000","53-1040",NA,"Air Transportation Workers",NA
"53-0000","53-2000","53-2010",NA,"Aircraft Pilots and Flight Engineers",NA
"53-0000","53-2000","53-2010","53-2011","Airline Pilots, Copilots, and Flight Engineers",NA
"53-0000","53-2000","53-2010","53-2012","Commercial Pilots",NA
"53-0000","53-2000","53-2020",NA,"Air Traffic Controllers and Airfield Operations Specialists",NA
"53-0000","53-2000","53-2020","53-2021","Air Traffic Controllers",NA
"53-0000","53-2000","53-2020","53-2022","Airfield Operations Specialists",NA
"53-0000","53-2000","53-2030",NA,"Flight Attendants",NA
"53-0000","53-2000","53-2030","53-2031","Flight Attendants",NA
"53-0000","53-3000","53-2030",NA,"Motor Vehicle Operators",NA
"53-0000","53-3000","53-3010",NA,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",NA
"53-0000","53-3000","53-3010","53-3011","Ambulance Drivers and Attendants, Except Emergency Medical Technicians",NA
"53-0000","53-3000","53-3030",NA,"Driver/Sales Workers and Truck Drivers",NA
"53-0000","53-3000","53-3030","53-3031","Driver/Sales Workers",NA
"53-0000","53-3000","53-3030","53-3032","Heavy and Tractor-Trailer Truck Drivers",NA
"53-0000","53-3000","53-3030","53-3033","Light Truck Drivers",NA
"53-0000","53-3000","53-3050",NA,"Passenger Vehicle Drivers",NA
"53-0000","53-3000","53-3050","53-3051","Bus Drivers, School",NA
"53-0000","53-3000","53-3050","53-3052","Bus Drivers, Transit and Intercity",NA
"53-0000","53-3000","53-3050","53-3053","Shuttle Drivers and Chauffeurs",NA
"53-0000","53-3000","53-3050","53-3054","Taxi Drivers",NA
"53-0000","53-3000","53-3090",NA,"Miscellaneous Motor Vehicle Operators",NA
"53-0000","53-3000","53-3090","53-3099","Motor Vehicle Operators, All Other",NA
"53-0000","53-4000","53-3090",NA,"Rail Transportation Workers",NA
"53-0000","53-4000","53-4010",NA,"Locomotive Engineers and Operators",NA
"53-0000","53-4000","53-4010","53-4011","Locomotive Engineers",NA
"53-0000","53-4000","53-4010","53-4013","Rail Yard Engineers, Dinkey Operators, and Hostlers",NA
"53-0000","53-4000","53-4020",NA,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",NA
"53-0000","53-4000","53-4020","53-4022","Railroad Brake, Signal, and Switch Operators and Locomotive Firers",NA
"53-0000","53-4000","53-4030",NA,"Railroad Conductors and Yardmasters",NA
"53-0000","53-4000","53-4030","53-4031","Railroad Conductors and Yardmasters",NA
"53-0000","53-4000","53-4040",NA,"Subway and Streetcar Operators",NA
"53-0000","53-4000","53-4040","53-4041","Subway and Streetcar Operators",NA
"53-0000","53-4000","53-4090",NA,"Miscellaneous Rail Transportation Workers",NA
"53-0000","53-4000","53-4090","53-4099","Rail Transportation Workers, All Other",NA
"53-0000","53-5000","53-4090",NA,"Water Transportation Workers",NA
"53-0000","53-5000","53-5010",NA,"Sailors and Marine Oilers",NA
"53-0000","53-5000","53-5010","53-5011","Sailors and Marine Oilers",NA
"53-0000","53-5000","53-5020",NA,"Ship and Boat Captains and Operators",NA
"53-0000","53-5000","53-5020","53-5021","Captains, Mates, and Pilots of Water Vessels",NA
"53-0000","53-5000","53-5020","53-5022","Motorboat Operators",NA
"53-0000","53-5000","53-5030",NA,"Ship Engineers",NA
"53-0000","53-5000","53-5030","53-5031","Ship Engineers",NA
"53-0000","53-6000","53-5030",NA,"Other Transportation Workers",NA
"53-0000","53-6000","53-6010",NA,"Bridge and Lock Tenders",NA
"53-0000","53-6000","53-6010","53-6011","Bridge and Lock Tenders",NA
"53-0000","53-6000","53-6020",NA,"Parking Attendants",NA
"53-0000","53-6000","53-6020","53-6021","Parking Attendants",NA
"53-0000","53-6000","53-6030",NA,"Transportation Service Attendants",NA
"53-0000","53-6000","53-6030","53-6031","Automotive and Watercraft Service Attendants",NA
"53-0000","53-6000","53-6030","53-6032","Aircraft Service Attendants",NA
"53-0000","53-6000","53-6040",NA,"Traffic Technicians",NA
"53-0000","53-6000","53-6040","53-6041","Traffic Technicians",NA
"53-0000","53-6000","53-6050",NA,"Transportation Inspectors",NA
"53-0000","53-6000","53-6050","53-6051","Transportation Inspectors",NA
"53-0000","53-6000","53-6060",NA,"Passenger Attendants",NA
"53-0000","53-6000","53-6060","53-6061","Passenger Attendants",NA
"53-0000","53-6000","53-6090",NA,"Miscellaneous Transportation Workers",NA
"53-0000","53-6000","53-6090","53-6099","Transportation Workers, All Other",NA
"53-0000","53-7000","53-6090",NA,"Material Moving Workers",NA
"53-0000","53-7000","53-7010",NA,"Conveyor Operators and Tenders",NA
"53-0000","53-7000","53-7010","53-7011","Conveyor Operators and Tenders",NA
"53-0000","53-7000","53-7020",NA,"Crane and Tower Operators",NA
"53-0000","53-7000","53-7020","53-7021","Crane and Tower Operators",NA
"53-0000","53-7000","53-7030",NA,"Dredge Operators",NA
"53-0000","53-7000","53-7030","53-7031","Dredge Operators",NA
"53-0000","53-7000","53-7040",NA,"Hoist and Winch Operators",NA
"53-0000","53-7000","53-7040","53-7041","Hoist and Winch Operators",NA
"53-0000","53-7000","53-7050",NA,"Industrial Truck and Tractor Operators",NA
"53-0000","53-7000","53-7050","53-7051","Industrial Truck and Tractor Operators",NA
"53-0000","53-7000","53-7060",NA,"Laborers and Material Movers",NA
"53-0000","53-7000","53-7060","53-7061","Cleaners of Vehicles and Equipment",NA
"53-0000","53-7000","53-7060","53-7062","Laborers and Freight, Stock, and Material Movers, Hand",NA
"53-0000","53-7000","53-7060","53-7063","Machine Feeders and Offbearers",NA
"53-0000","53-7000","53-7060","53-7064","Packers and Packagers, Hand",NA
"53-0000","53-7000","53-7060","53-7065","Stockers and Order Fillers",NA
"53-0000","53-7000","53-7070",NA,"Pumping Station Operators",NA
"53-0000","53-7000","53-7070","53-7071","Gas Compressor and Gas Pumping Station Operators",NA
"53-0000","53-7000","53-7070","53-7072","Pump Operators, Except Wellhead Pumpers",NA
"53-0000","53-7000","53-7070","53-7073","Wellhead Pumpers",NA
"53-0000","53-7000","53-7080",NA,"Refuse and Recyclable Material Collectors",NA
"53-0000","53-7000","53-7080","53-7081","Refuse and Recyclable Material Collectors",NA
"53-0000","53-7000","53-7120",NA,"Tank Car, Truck, and Ship Loaders",NA
"53-0000","53-7000","53-7120","53-7121","Tank Car, Truck, and Ship Loaders",NA
"53-0000","53-7000","53-7190",NA,"Miscellaneous Material Moving Workers",NA
"53-0000","53-7000","53-7190","53-7199","Material Moving Workers, All Other",NA
"55-0000","53-7000","53-7190",NA,"Military Specific Occupations",NA
"55-0000","55-1000","53-7190",NA,"Military Officer Special and Tactical Operations Leaders",NA
"55-0000","55-1000","55-1010",NA,"Military Officer Special and Tactical Operations Leaders",NA
"55-0000","55-1000","55-1010","55-1011","Air Crew Officers",NA
"55-0000","55-1000","55-1010","55-1012","Aircraft Launch and Recovery Officers",NA
"55-0000","55-1000","55-1010","55-1013","Armored Assault Vehicle Officers",NA
"55-0000","55-1000","55-1010","55-1014","Artillery and Missile Officers",NA
"55-0000","55-1000","55-1010","55-1015","Command and Control Center Officers",NA
"55-0000","55-1000","55-1010","55-1016","Infantry Officers",NA
"55-0000","55-1000","55-1010","55-1017","Special Forces Officers",NA
"55-0000","55-1000","55-1010","55-1019","Military Officer Special and Tactical Operations Leaders, All Other",NA
"55-0000","55-2000","55-1010",NA,"First-Line Enlisted Military Supervisors",NA
"55-0000","55-2000","55-2010",NA,"First-Line Enlisted Military Supervisors",NA
"55-0000","55-2000","55-2010","55-2011","First-Line Supervisors of Air Crew Members",NA
"55-0000","55-2000","55-2010","55-2012","First-Line Supervisors of Weapons Specialists/Crew Members",NA
"55-0000","55-2000","55-2010","55-2013","First-Line Supervisors of All Other Tactical Operations Specialists",NA
"55-0000","55-3000","55-2010",NA,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members",NA
"55-0000","55-3000","55-3010",NA,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members",NA
"55-0000","55-3000","55-3010","55-3011","Air Crew Members",NA
"55-0000","55-3000","55-3010","55-3012","Aircraft Launch and Recovery Specialists",NA
"55-0000","55-3000","55-3010","55-3013","Armored Assault Vehicle Crew Members",NA
"55-0000","55-3000","55-3010","55-3014","Artillery and Missile Crew Members",NA
"55-0000","55-3000","55-3010","55-3015","Command and Control Center Specialists",NA
"55-0000","55-3000","55-3010","55-3016","Infantry",NA
"55-0000","55-3000","55-3010","55-3018","Special Forces",NA
"55-0000","55-3000","55-3010","55-3019","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",NA
